id,x,y,width,height,text
1,1106,28,180,17,"1,209,002 kWh served"
2,7,199,1351,817,"LA’s largest battery rental house
Batteries for every situation.
Yeah, that one too.
;"
3,81,1119,101,23,CXPIOTe
4,243,1119,121,18,Dattenes
5,1141,1409,144,59,Humbi@>
6,53,1411,56,58,"(a
wy"
7,734,1425,106,24,Humble
8,123,1459,106,24,Humble
9,1139,1504,108,31,"1kWh Capacity
GOOOW Output"
10,121,1506,108,31,"1kWh Capacity
GOOOW Output"
11,732,1506,108,31,"1kWh Capacity
6O0OW Output"
12,1139,1544,144,15,From USD $100/day
13,121,1546,144,15,From USD $100/day
14,732,1546,144,15,From USD $100/day
15,80,1785,168,24,Accessories
16,731,2076,172,91,"LEX 24
120v/208v
Viceroy Power
Rack"
17,428,2081,135,67,"Nanlite
Parabolic
Softbox GO"
18,1039,2169,190,33,"> Channel Rubber Cable
Protectors"
19,428,2170,123,32,"White
60cm diameter"
20,119,2171,123,36,"1kWh Capacity
GOOOW Output"
21,731,2188,169,14,"26""L x24 ""W x 30'H"
22,731,2212,159,18,From USD $1i30/day
23,1039,2212,148,18,From USD $10/day
24,81,2457,135,24,industries
25,1229,2692,137,192,"Construc
Oo:

Essential for cor
sites, powering

lighting, commu
devices, and ten
offices, ensuring
work without gr"
26,53,2715,56,58,"(a
wy"
27,936,2715,105,24,Remote
28,693,2745,91,24,Events
29,935,2748,114,25,Off-Grid
30,936,2783,132,24,|_ocations
31,260,2790,148,24,Production
32,628,2791,211,93,"Power sound, lighting, food
vendor equipment, and
ticketing stations at
outdoor events without
gricl access."
33,934,2829,206,55,"Enjoy being removed from
the city without losing the
civilization's perks."
34,120,2836,404,74,"Power cameras, lights, monitors, and equipment,
enabling shooting in remote locations without
traditional power and their downturns: noise, fumes
and long power cables."
35,628,2924,205,46,"Rent or Customize Bundle
Advantages"
36,933,2924,205,46,"Rent or Customize Bundle
Advantages"
37,1239,2924,127,46,"Rent or Customi
Advantages"
38,119,2950,205,20,Rent or Customize Bundle
39,80,3078,165,29,Advantages
40,833,3247,85,29,Ready
41,863,3281,96,58,"project
less th;"
42,528,3315,110,29,Support
43,527,3361,210,52,"Humble provides backup
and assistance around the
look."
44,831,3361,414,54,"Do you need power, and clo you need it now? Humble
will deliver all the energy your project needs in under
2 hours, in the LA area."
45,1037,3571,102,24,indoors
46,1036,3605,129,24,Outdoors
47,185,3628,138,29,disturbing
48,596,3628,110,29,Delivery
49,1035,3651,214,93,"Our solutions are suited for
both the rugged outdoors
and the sensitive incloor
areas, without disturbing
any of these."
50,121,3662,130,29,operation
51,557,3662,110,29,PICK-Up
52,120,3708,304,36,"Keep power during early mornings and
late nights"
53,527,3708,416,36,"One less problem for you to worry about: Humble is a
solution delivered at your cloorstep."
54,80,3870,171,24,Testimonials
55,423,4041,264,72,"Lorem ipsum pyselig pl
Vad apobel, an hi
Stenoméahans gigan"
56,669,4041,126,43,"pulverbrev
heteross r"
57,778,4041,95,67,"Vv sedan
renomi.
och ster"
58,524,4152,318,35,"Alex Kohberger
Chief Lighting Technician at A24 Studios"
59,643,4295,81,81,
60,80,4461,103,24,Trusted
61,670,5083,93,22,support
62,251,5122,226,37,VWnherever
63,387,5122,846,263,">ver, whenever our batteries are
we are too."
64,497,5122,228,37,vhenever
65,737,5130,75,29,Our
66,1043,5130,74,29,are
67,725,5173,85,34,COO.
68,557,5178,69,29,Ve
69,639,5178,74,29,are
70,551,5301,265,52,Get a call from us now
71,82,5488,109,24,Contact
72,690,5560,222,12,Get an answer in less than 30 minutes
73,382,5604,137,15,+1 (601) 207-0592
74,386,5655,178,45,"1234 Oak Street
Santa Monica, CA 90404
United States."
75,691,5671,193,15,In-Person visits pon booking only
76,695,5896,100,23,Company
77,1101,5950,154,13,Terms and Conditions
78,1102,6014,161,16,Return & Refund Policy
